"overall_pick","players_drafted","avg_games_played","avg_points","avg_point_shares","successful_players"
1,60,808.6,637.7,74.80,46
2,60,789.4,566.7,63.30,47
3,60,708.5,406.1,44.69,39
4,60,632.3,399.1,45.62,33
5,60,621.0,307.3,45.59,39
6,60,549.6,339.2,38.34,30
7,60,597.5,328.1,35.62,35
8,60,484.9,250.2,29.64,26
9,60,528.3,274.4,30.93,27
10,60,449.6,200.6,22.59,19
11,59,563.0,275.4,34.84,29
12,59,428.1,208.9,24.34,16
13,59,486.3,228.7,27.02,21
14,59,528.2,236.3,32.57,28
15,59,396.7,259.5,28.87,17
16,59,393.7,177.1,20.85,19
17,59,470.8,234.7,24.54,19
18,59,375.2,149.2,17.14,15
19,58,362.3,165.8,21.29,15
20,58,393.1,177.1,24.65,15
21,58,385.3,170.4,20.22,17
22,57,393.3,209.8,24.16,16
23,57,377.2,150.9,20.99,17
24,57,357.5,161.5,20.39,14
25,54,336.0,133.9,19.84,15
26,54,337.8,165.4,21.51,20
27,54,374.9,146.3,21.11,19
28,54,312.0,136.2,16.23,9
29,54,267.6,114.4,13.87,9
30,54,295.3,122.0,14.83,10
31,54,159.8,42.6,8.93,7
32,54,273.3,109.2,11.50,9
33,54,388.7,174.9,19.60,13
34,54,205.6,68.1,10.78,4
35,54,276.8,115.3,14.08,7
36,54,323.7,133.1,16.16,9
37,54,233.5,76.1,12.25,6
38,54,311.4,102.6,17.07,10
39,54,269.9,105.5,14.36,9
40,54,340.8,159.8,21.99,13
41,54,209.5,82.2,10.32,5
42,54,244.7,93.5,10.32,7
43,54,297.3,128.3,15.21,9
44,54,369.3,140.0,23.99,12
45,54,283.9,138.7,17.85,8
46,54,240.2,82.6,10.03,7
47,54,308.8,124.0,13.61,10
48,54,207.8,92.0,13.68,8
49,53,260.6,106.4,13.39,7
50,54,213.4,72.1,7.37,3
51,54,310.9,152.9,21.78,8
52,54,262.1,75.4,13.42,4
53,54,257.7,108.6,16.94,5
54,54,285.8,88.2,15.73,6
55,54,321.8,123.4,13.88,12
56,54,306.8,99.4,18.02,6
57,54,304.4,117.3,11.72,7
58,54,182.8,77.2,10.99,5
59,54,357.8,131.6,21.69,8
60,54,280.9,129.7,14.34,9
61,54,277.3,89.9,13.35,5
62,54,319.1,129.3,20.05,9
63,54,178.1,57.1,8.62,6
64,54,206.8,117.0,16.22,7
65,54,155.3,46.9,3.89,1
66,54,242.1,88.7,10.48,9
67,54,288.3,130.3,13.82,5
68,54,240.3,77.8,10.35,4
69,54,315.0,168.0,20.53,7
70,54,257.8,105.8,15.30,5
71,54,393.2,181.2,20.20,8
72,54,305.6,78.5,18.98,6
73,54,247.8,91.5,13.34,4
74,54,268.7,126.0,17.30,6
75,54,197.1,82.2,9.09,4
76,54,243.6,67.5,12.63,5
77,54,200.6,99.9,14.87,6
78,54,168.6,55.3,7.64,2
79,54,266.4,105.2,10.65,3
80,54,281.8,111.9,9.49,6
81,54,244.3,114.3,13.91,5
82,54,266.7,116.0,13.89,4
83,54,243.9,92.6,12.19,6
84,54,165.1,38.2,4.28,0
85,53,221.8,94.3,16.39,8
86,53,174.1,73.7,7.55,3
87,53,261.0,110.7,13.62,5
88,53,289.2,103.9,10.98,5
89,53,311.3,136.8,16.14,5
90,53,187.5,75.2,9.42,5
91,53,225.0,101.4,12.18,4
92,53,106.3,22.4,2.95,0
93,53,205.2,53.9,10.64,3
94,53,190.6,44.1,10.68,4
95,53,253.5,116.5,12.00,4
96,53,185.5,64.3,7.00,3
97,53,185.1,41.5,7.60,4
98,53,196.3,65.5,7.28,2
99,53,231.8,68.6,15.46,7
100,53,156.5,61.8,7.79,1
101,53,220.2,65.4,8.26,2
102,53,200.7,41.1,9.30,3
103,53,212.8,101.5,7.89,3
104,53,202.2,87.6,8.08,2
105,53,238.1,88.2,11.82,2
106,53,249.3,96.0,12.00,5
107,53,160.5,52.2,9.26,2
108,53,327.8,142.6,16.67,6
109,53,171.9,65.2,4.79,1
110,53,196.6,64.9,5.40,1
111,53,180.7,77.5,9.47,2
112,53,222.6,67.1,14.38,6
113,53,221.6,119.2,13.84,3
114,53,196.0,67.4,10.10,3
115,53,138.2,43.2,5.62,1
116,52,229.4,62.9,10.81,2
117,52,294.6,138.2,18.09,3
118,50,239.4,82.8,13.82,3
119,51,227.7,64.4,15.24,5
120,51,326.5,202.5,19.67,6
121,51,301.6,164.3,15.10,3
122,51,165.9,38.8,8.82,2
123,51,377.7,151.6,17.38,3
124,51,295.8,91.8,18.61,7
125,51,138.5,22.5,14.06,2
126,51,109.7,25.4,3.40,0
127,50,167.6,58.5,6.41,1
128,50,307.9,131.3,13.56,3
129,50,272.0,116.0,17.71,6
130,50,268.1,118.1,17.80,3
131,50,138.1,47.9,4.65,1
132,50,252.9,63.8,11.88,3
133,50,317.9,166.4,18.44,3
134,50,450.6,263.0,24.29,7
135,50,160.4,40.8,11.32,3
136,49,228.5,89.8,7.73,1
137,49,87.4,18.1,2.45,0
138,49,165.9,23.5,15.71,3
139,49,189.8,67.1,6.81,3
140,49,164.2,51.5,2.55,1
141,49,214.5,73.9,15.03,4
142,49,68.6,25.5,2.73,0
143,49,168.0,15.7,0.94,0
144,49,272.5,84.8,9.65,3
145,49,186.2,82.7,10.72,3
146,49,110.7,22.3,1.35,0
147,49,167.7,58.6,7.23,1
148,49,220.7,82.9,7.35,2
149,49,227.5,60.9,6.75,1
150,49,226.6,87.6,8.58,2
151,49,324.4,111.4,14.27,3
152,49,208.9,74.8,8.74,3
153,48,162.8,51.4,3.68,1
154,48,173.4,36.9,10.20,2
155,48,262.6,53.2,4.80,0
156,48,435.9,177.6,30.73,6
157,48,244.1,132.7,11.38,3
158,48,224.9,67.5,6.54,1
159,48,207.0,58.4,14.83,2
160,48,179.5,47.4,11.53,4
161,48,317.6,101.8,20.88,6
162,48,227.4,104.8,14.56,2
163,48,183.5,66.1,7.55,2
164,48,319.7,108.8,13.57,3
165,48,53.9,6.8,2.10,0
166,48,370.3,166.8,20.40,2
167,48,285.2,80.2,10.17,3
168,48,215.9,58.5,8.67,3
169,47,90.1,22.8,2.93,0
170,47,91.5,19.8,3.99,1
171,47,310.1,211.8,25.66,4
172,47,154.9,46.4,5.21,1
173,47,263.3,85.6,10.20,2
174,47,224.0,106.7,10.18,1
175,47,153.7,81.2,7.78,2
176,47,262.5,66.1,12.63,3
177,47,423.5,141.3,13.67,3
178,47,150.2,64.4,6.79,1
179,47,328.1,113.2,14.69,3
180,47,315.2,114.3,16.82,2
181,47,172.8,85.0,6.88,1
182,47,110.1,30.4,3.57,1
183,46,447.5,188.4,15.93,3
184,47,47.8,13.6,1.36,0
185,47,21.5,2.4,-0.31,0
186,46,257.1,55.4,5.12,1
187,46,106.2,6.8,14.08,1
188,46,189.0,39.1,8.66,1
189,46,256.3,75.4,13.77,1
190,46,176.8,32.1,2.74,0
191,46,298.2,133.0,19.30,4
192,46,156.3,71.4,9.69,2
193,46,104.2,42.5,3.78,1
194,46,184.8,46.1,8.28,2
195,46,101.8,27.7,2.63,0
196,46,122.1,25.8,7.40,1
197,46,66.0,14.7,2.00,0
198,46,238.0,109.4,11.91,2
199,46,226.1,49.7,23.13,2
200,46,116.5,31.8,9.30,1
201,46,213.0,61.9,12.05,2
202,46,197.0,80.9,8.15,2
203,46,154.6,34.4,5.90,1
204,46,303.2,102.2,21.78,2
205,46,338.8,131.1,33.78,3
206,46,109.8,24.8,11.80,2
207,46,229.1,55.9,10.31,1
208,46,252.3,95.3,11.67,2
209,46,45.7,9.1,0.49,0
210,46,279.5,204.8,19.53,2
211,43,64.4,14.6,0.99,0
212,34,161.9,85.3,10.19,1
213,34,198.6,53.2,9.84,1
214,33,461.3,200.7,29.50,6
215,33,103.9,32.2,6.07,2
216,33,379.2,162.2,23.26,2
217,33,149.9,17.5,14.14,1
218,28,135.0,4.7,17.17,1
219,28,541.0,117.5,37.98,2
220,28,224.7,95.4,8.64,1
221,28,319.6,111.9,17.27,3
222,28,237.8,66.8,6.42,1
223,28,303.5,70.3,7.28,1
224,28,150.0,45.6,4.98,2
225,27,132.3,39.0,7.14,1
226,26,251.4,29.2,29.16,1
227,26,257.4,146.1,17.01,3
228,26,176.2,42.8,5.68,1
229,26,153.5,34.7,10.28,2
230,26,304.1,110.7,15.66,2
231,25,371.0,203.0,12.50,1
232,25,133.0,35.7,11.59,2
233,25,257.3,155.2,14.87,1
234,25,404.5,109.2,6.75,0
235,23,89.0,40.5,2.80,0
236,23,NULL,NULL,NULL,0
237,23,36.5,12.2,1.67,0
238,23,188.7,46.9,7.79,1
239,23,258.0,101.1,18.41,2
240,23,101.6,35.7,4.27,0
241,23,338.3,103.7,16.77,1
242,22,209.5,65.3,5.68,0
243,21,5.0,0.5,0.00,0
244,21,298.5,108.0,7.70,1
245,21,320.3,113.2,15.55,1
246,21,21.3,2.5,0.13,0
247,20,319.0,70.0,4.25,0
248,19,14.3,3.8,0.45,0
249,19,257.7,127.3,13.13,1
250,19,428.0,171.3,31.68,2
251,18,NULL,NULL,NULL,0
252,18,172.0,83.0,7.10,1
253,11,99.0,43.8,4.35,0
254,11,50.0,6.8,0.38,0
255,11,156.5,50.5,3.40,0
256,11,175.0,95.7,10.83,1
257,11,357.0,179.7,19.03,1
258,11,251.7,9.0,42.03,1
259,10,91.0,16.0,0.00,0
260,10,NULL,NULL,NULL,0
261,10,43.0,8.8,4.33,0
262,10,249.8,118.0,17.43,1
263,10,222.7,123.3,14.03,1
264,10,491.0,296.0,30.20,1
265,8,450.7,108.0,5.60,0
266,8,69.3,11.7,1.83,0
267,8,94.3,21.3,3.27,0
268,8,12.5,0.0,0.00,0
269,8,7.0,0.0,-0.20,0
270,8,23.0,4.0,0.40,0
271,8,159.8,18.0,22.58,1
272,8,265.0,71.0,6.73,0
273,7,63.0,17.0,1.00,0
274,7,50.0,15.0,0.40,0
275,7,56.0,16.0,3.30,0
276,7,23.0,0.0,3.00,0
277,7,NULL,NULL,NULL,0
278,7,80.5,10.5,0.25,0
279,7,93.7,21.3,1.57,0
280,7,NULL,NULL,NULL,0
281,7,NULL,NULL,NULL,0
282,7,306.0,47.0,1.00,0
283,7,NULL,NULL,NULL,0
284,7,NULL,NULL,NULL,0
285,7,66.0,4.0,0.70,0
286,7,208.4,68.0,13.22,1
287,5,435.5,143.0,13.60,1
288,5,462.0,191.0,18.90,0
289,5,NULL,NULL,NULL,0
290,4,48.0,13.0,0.70,0
291,4,600.5,67.5,52.50,2
292,2,NULL,NULL,NULL,0
293,1,NULL,NULL,NULL,0
